alg,seed,train,test,theta,pop_size,gens,stalled_gens,tolerance,patience,fitness_history,time(seconds)
PSO,4,-67076.18981333179,-3763.0403907935984,"[6.346789497846037, 0.6552202711028615, 0.5, 23.03959886243156, 1.9729069488287074, 0.5, 7.30549052833426, 11.592612814911671]",50,12,10,0.3,10,"[-27231.4059469024, -57099.52071148336, -57099.52071148336, -67076.18981333179, -67076.18981333179, -67076.18981333179, -67076.18981333179, -67076.18981333179, -67076.18981333179, -67076.18981333179, -67076.18981333179, -67076.18981333179]",1.99
PSO,1,-59626.91199697175,-4387.95392467186,"[10.0, 1.5179490992771059, 0.22130370501291458, 377.80772372525945, 2.257102154746067, 0.2764161979124452, 8.56987565967952, 12.749797450063454]",50,12,10,0.3,10,"[-21962.540045849484, -47655.016844986254, -47655.016844986254, -47655.016844986254, -55179.65976211732, -55179.65976211732, -55179.65976211732, -55179.65976211732, -55179.65976211732, -55179.65976211732, -55179.65976211732, -59626.91199697175]",2.06
PSO,8,-96039.57769858617,-4396.04611647683,"[4.837229007309673, 0.24667163642418072, 0.21195198583932423, 191.55354809742536, 1.8690809536527355, 0.2897411494947709, 10.471873115355105, 9.345175094458211]",50,12,10,0.3,10,"[-33639.32029753852, -80435.21274455015, -80435.21274455015, -80435.21274455015, -84248.83655132409, -84248.83655132409, -96039.57769858617, -96039.57769858617, -96039.57769858617, -96039.57769858617, -96039.57769858617, -96039.57769858617]",2.06
PSO,6,-67076.18981333179,-3763.0403907935984,"[5.691439050746074, 1.1958001911096605, 0.15998207246985857, 46.58530380639629, 2.2449495041806444, 0.5, 7.049319672114567, 11.673332824224127]",50,12,10,0.3,10,"[-29216.444440197087, -60329.926559585016, -60329.926559585016, -62179.41623090769, -67076.18981333179, -67076.18981333179, -67076.18981333179, -67076.18981333179, -67076.18981333179, -67076.18981333179, -67076.18981333179, -67076.18981333179]",2.13
PSO,3,-70381.32253382812,-4672.614909221055,"[5.510857721897628, 0.7236241303829044, 0.29505709882556375, 79.91225991811277, 1.8781091849006368, 0.4903363881070623, 6.907784743832415, 11.873152528681452]",50,12,10,0.3,10,"[-27821.207893252573, -59591.63960368301, -60329.926559585016, -60329.926559585016, -67076.18981333179, -67076.18981333179, -67076.18981333179, -67076.18981333179, -70348.59495997745, -70381.32253382812, -70381.32253382812, -70381.32253382812]",2.19
PSO,7,-80513.4659899637,-7152.256412346654,"[7.92551237257711, 1.0240398876563754, 0.20555315821364545, 43.02072273788244, 1.553308315470241, 0.34072551956326524, 6.925897334850394, 12.423064295915836]",50,13,10,0.3,10,"[-32816.32863198848, -44100.07370147395, -75013.47374742996, -75013.47374742996, -75013.47374742996, -75013.47374742996, -75013.47374742996, -75013.47374742996, -75013.47374742996, -75013.47374742996, -75013.47374742996, -75013.47374742996, -80513.4659899637]",2.21
PSO,2,-67383.43523612736,-3730.8128263399763,"[5.289247042065773, 1.9727895678481668, 0.21045298203750049, 245.58635467637933, 1.9776011595475975, 0.5, 5.0, 12.23611082254136]",50,13,10,0.3,10,"[-19342.855004351426, -27502.419864768657, -65802.04407046939, -65802.04407046939, -67076.18981333179, -67076.18981333179, -67076.18981333179, -67076.18981333179, -67076.18981333179, -67383.43523612736, -67383.43523612736, -67383.43523612736, -67383.43523612736]",2.35
PSO,5,-72535.95099656875,-2619.2829292297865,"[7.181008111724427, 0.0, 0.5, 115.4274283867469, 2.0827016395012437, 0.26104227482185244, 7.2885738917611125, 10.019482094650597]",50,15,10,0.3,10,"[-35531.68283327397, -35531.68283327397, -37384.10785237204, -46341.110182649114, -63138.16324917813, -63138.16324917813, -68208.52492400384, -68208.52492400384, -68208.52492400384, -68208.52492400384, -68208.52492400384, -71863.82619943026, -72535.95099656875, -72535.95099656875, -72535.95099656875]",2.49
PSO,9,-69520.6781509528,-4633.8830075896,"[6.942811285659445, 1.3632967883576836, 0.1303416844077689, 390.77996077504685, 1.8612052647263617, 0.3130075470565349, 9.23157352136965, 13.35543893845452]",50,14,10,0.3,10,"[-24099.047294472275, -38582.91947952445, -50083.833808312935, -69520.6781509528, -69520.6781509528, -69520.6781509528, -69520.6781509528, -69520.6781509528, -69520.6781509528, -69520.6781509528, -69520.6781509528, -69520.6781509528, -69520.6781509528, -69520.6781509528]",2.49
PSO,0,-91392.03574577752,-4983.799597134624,"[5.257283029144643, 0.0, 0.33268548943754755, 196.2634950940202, 1.9415576937528545, 0.2901856354030738, 7.374447153787122, 8.741878713709301]",50,18,10,0.3,10,"[-53893.56489854536, -68053.20955673598, -68053.20955673598, -68053.20955673598, -69889.60851443578, -69889.60851443578, -69889.60851443578, -82675.05490883758, -82675.05490883758, -87586.16105789893, -87586.16105789893, -87586.16105789893, -87586.16105789893, -87586.16105789893, -91392.03574577752, -91392.03574577752, -91392.03574577752, -91392.03574577752]",3.13
