alg,seed,train,test,"theta [d1, t1, a1,  d2, t2, a2, shift]",pop_size,gens,time(seconds)
PSO,0,-35.81983860719792,-124.24990691034125,"[46.62604678092528, 0.0, 0.5, 28.317888417199207, 2.3196611341699938, 0.05, 6.0, 0.0]",15,50,0.69
PSO,3,-29.26219647159464,-158.65896672784936,"[43.45660866254107, 3.0, 0.20443773155144512, 65.37009174320569, 3.0, 0.20388997032799447, 1.8468541056880798, 0.06820391450372087]",15,50,0.75
PSO,4,-29.26219647159464,-141.50915157821916,"[35.078532865330146, 1.4597203778059271, 0.08723425493084876, 57.392868312384905, 0.8623397394012854, 0.29114734325901626, 1.6081527527841066, 0.0]",15,50,0.75
PSO,2,-29.980908652873126,-125.67838218775077,"[22.603821652330478, 1.3980622024823046, 0.2019386940189381, 20.0, 0.0, 0.5, 3.8634510192649443, 0.0]",15,50,0.78
PSO,1,-31.114191579245237,-146.165019263845,"[50.0, 0.0, 0.42331108923671756, 58.72349976491303, 0.34300611468147485, 0.4688130896454089, 5.3771703516729765, 0.0]",15,50,0.8
PSO,5,-29.5837829843166,-116.1979786524866,"[50.0, 2.5980363862485993, 0.07965319499007828, 123.09493925119942, 2.5970927402727586, 0.05, 5.057788696633541, 0.0]",15,50,0.8
PSO,7,-33.247736979509035,-162.01235937834682,"[50.0, 0.24716856502838164, 0.2365779187425048, 20.0, 0.0, 0.5, 5.80561093782539, 0.0]",15,50,0.78
PSO,6,-19.040535715838494,-181.17928049554988,"[43.10632873127789, 0.0, 0.20241958114954434, 93.39427922183627, 1.195765378902449, 0.26051822639190125, 4.500201648992643, 4.678394099420027]",15,50,0.86
PSO,8,-29.980908652873126,-574.2675451036406,"[18.8968118406491, 1.2860503569184538, 0.14298721065629588, 127.25146185967586, 1.852274755036134, 0.05, 4.310669538341659, 0.020445785853528933]",15,50,0.75
PSO,12,-49.03463762977408,-1000.0,"[41.03501004986469, 2.229749926009202, 0.4771697545206366, 34.706592067102065, 2.694471592526037, 0.27505573145058065, 2.693780289439286, 4.120560684176161]",15,50,0.71
PSO,11,-29.26219647159464,-1000.0,"[39.76888158035567, 1.292674451524152, 0.4567837817366502, 54.64360353606703, 1.4935402759547964, 0.42318922566050343, 2.356972939622449, 0.0]",15,50,0.74
PSO,10,-22.352763418822406,-770.450798145264,"[24.58834353306664, 1.0096057782481487, 0.2100631480991662, 91.45659483313045, 1.1871127780131088, 0.46179061658389003, 1.7515336614430577, 0.6020711378462018]",15,50,0.77
PSO,13,-29.980908652873126,-133.4145282033495,"[21.99294169095553, 1.394614076131525, 0.21639647702465878, 25.439811242904362, 1.2031034929042534, 0.18622884255982153, 4.422007297476763, 0.0]",15,50,0.76
PSO,9,-18.793588794683348,-856.2182294923921,"[21.59197817520737, 0.40362654123170466, 0.4033935797788011, 30.222737509985368, 2.022190760280584, 0.2910036106156797, 3.9247569105261366, 3.1445408808043878]",15,50,0.83
PSO,15,-30.866877652581177,-156.68708866397418,"[41.76819945854481, 2.1953699856710482, 0.05, 20.0, 2.030066792300972, 0.05, 3.9625774492125956, 0.34677549121910556]",15,50,0.74
PSO,14,-10.008261561909121,-278.7247096419426,"[25.510491358738143, 1.1522288781860848, 0.1133601837673518, 91.08517839856113, 1.6720585834990846, 0.31021744521793343, 1.0986344748620354, 1.1810667532739296]",15,50,0.85
PSO,17,-32.63058543778802,-180.88283254435223,"[26.78847968134947, 1.9420485995252927, 0.41213885332125094, 107.71205490488009, 0.6192460211597158, 0.1241669676636854, 3.776150348381993, 0.0]",15,50,0.64
PSO,16,-35.33147302850733,-162.61737533483276,"[44.662301935891044, 2.726726832036979, 0.05, 147.021093112839, 2.8930518338115823, 0.36893137034464224, 5.357748880937012, 0.0]",15,50,0.77
PSO,19,-29.26219647159464,-177.2921608874871,"[22.45709585919183, 1.1988383918870258, 0.23406069621208817, 54.05364297670644, 1.3026766606101723, 0.4693646289227199, 1.2116617299609627, 0.0]",15,50,0.69
PSO,22,-47.053378272414825,-1000.0,"[46.53140983638188, 0.4830893031873944, 0.3746346173116814, 170.6952998207541, 2.898068537534054, 0.1788468530227832, 2.0581699967251694, 3.870272944302229]",15,50,0.64
PSO,18,-32.63058543778802,-166.1975992657643,"[50.0, 2.417574698852585, 0.5, 131.15514742727217, 1.0558410663710225, 0.36347976874140253, 4.528801654566715, 0.0]",15,50,0.74
PSO,21,-14.444309508529678,-1062.943284472421,"[27.516154116175457, 0.9507740030837735, 0.5, 141.95450157293627, 2.431272405087129, 0.17340907569234443, 4.837463205025499, 1.0717127203733725]",15,50,0.81
PSO,20,-14.444309508529678,-1042.406600828044,"[27.734022476553346, 1.0915019525739689, 0.4997002770710969, 150.68645328137472, 2.337201873772282, 0.17444541710616115, 5.334624190197309, 1.2999862232101873]",15,50,0.86
PSO,23,-9.369961414789097,-1607.160832825487,"[36.927428436360614, 2.459782042826183, 0.1112263565515715, 47.30406503293842, 1.8961899626507264, 0.37862397815371857, 1.073331642345583, 1.0794538992953406]",15,50,0.8
PSO,27,-48.52387695580189,-1000.0,"[19.28937040492921, 1.9178652453263454, 0.19369470848300868, 152.81467073657828, 2.9424572266985987, 0.15677513560568795, 6.0, 4.756393715632871]",15,50,0.63
PSO,25,-29.26219647159464,-142.78394061707408,"[24.491559958847073, 2.973524010175111, 0.310746379875738, 144.7740217972594, 2.6861254990136967, 0.06405337525511948, 2.2390766179723025, 0.0]",15,50,0.76
PSO,24,-14.444309508529678,-1042.406600828044,"[28.1924036962219, 1.3884497272228713, 0.49991441522923075, 113.43686840517219, 1.849814898476059, 0.17435063804178144, 5.179638992649369, 1.0719389248964803]",15,50,0.83
PSO,28,-24.365764022784177,-154.94138014960527,"[30.10568495702039, 2.294107371574955, 0.16140290302579552, 155.74105210718514, 0.7069864908244254, 0.30295811833042585, 4.915653281094207, 0.9940816217872216]",15,50,0.77
PSO,26,-10.008261561909121,-278.7247096419426,"[26.489229483230087, 0.6002408339061793, 0.05615721190754041, 84.51699107805672, 2.0970323043003054, 0.3118552097866438, 1.316618856719735, 1.0928300511074829]",15,50,0.82
PSO,29,-29.26219647159464,-184.00633798941578,"[25.346067548085284, 0.7068327070781963, 0.051881163826694415, 187.836297802936, 2.2202862311532328, 0.05, 1.413329597195875, 0.0]",15,50,0.71
PSO,30,-31.09691974868929,-125.67838218775077,"[40.32296872662491, 3.0, 0.4139175902993183, 200.0, 3.0, 0.5, 4.688007114495278, 0.0]",15,50,0.84
PSO,31,-12.670867812603973,-127.41904597229697,"[18.653090201052567, 0.0, 0.20727619448618478, 200.0, 2.4308517425936134, 0.4540810104663477, 1.4817605934960416, 3.1519710839846584]",15,50,0.83
PSO,35,-11.886125048882633,-281.30134031449927,"[25.676486227604023, 1.408047191357209, 0.3784207565692395, 143.9538434616457, 2.4454054173868625, 0.33280061473274014, 1.2570442535317237, 2.737858822647389]",15,50,0.58
PSO,32,-29.26219647159464,-1000.0,"[41.57108567853551, 0.8663222285084511, 0.05, 53.17833153052901, 0.7048135132518593, 0.45152868744652175, 2.176194128424087, 0.0]",15,50,0.76
PSO,37,-47.053378272414825,-1000.0,"[39.560027223281764, 0.015617882420882356, 0.1986169092217157, 23.61378389143519, 2.526497965424379, 0.09969120919839526, 2.1845998018851356, 4.7672347435947255]",15,50,0.59
PSO,34,-31.114191579245237,-184.0777474906863,"[5.0, 0.3192954102260894, 0.5, 104.66452939913037, 0.9504427780336757, 0.4094305115738132, 4.8903379876455535, 0.0]",15,50,0.74
