alg,seed,fitness,theta,gens,time_sec,pop_size,r_repulsion,r_orientation,r_attraction,alpha,beta
CAB,1,5.919012982850557,"[-0.8377520964648937, 1.38087188370413, -0.7405759964512899, -0.6426405863783605, -2.2239897098072734, -0.04232798634278399]",50,0.08,10,0.1,0.4,0.8,0.1,0.01
CAB,2,5.724028324602724,"[0.06515801471510173, -0.9118941510896516, -0.3912736783194994, 0.007078637097366871, 3.1118143239877143, 1.0151419113458726]",50,0.08,10,0.1,0.4,0.8,0.1,0.01
CAB,3,6.011174305293842,"[-0.38419713296285335, -0.3033814316291766, 2.0303371830879446, 1.4520056958847152, -1.1668674653772306, 0.7627715865526022]",50,0.09,10,0.1,0.4,0.8,0.1,0.01
CAB,4,5.5730436153012235,"[-0.026902492291096404, 0.4309010559056437, -0.07066090177555008, 2.3762132454745775, -0.39977624223794395, -1.0666681635364454]",50,0.14,10,0.1,0.4,0.8,0.1,0.01
CAB,0,6.267317468448898,"[-0.29891899820020457, -0.36382744792347393, -3.1239828690003577, -0.9916843268723186, 0.8543813452944893, -0.19306344557810584]",50,0.1,10,0.1,0.4,0.8,0.1,0.05
CAB,1,5.552719175371529,"[-0.8658207906520515, 1.310361750761702, -0.7639591269332746, -0.8250481156797365, -2.1964612912991446, -0.06504649183413065]",50,0.09,10,0.1,0.4,0.8,0.1,0.05
CAB,2,6.306620096707412,"[-1.2256383205240953, -1.8882088193652629, -1.0168198469291203, 1.0238505746204234, 1.7864539563030832, -1.6445781505491752]",50,0.09,10,0.1,0.4,0.8,0.1,0.05
CAB,3,5.589866848143441,"[-1.0539743703169213, 0.9926250091816767, 2.0553918050037385, -2.0148671818879236, 1.8975014966355452, 0.9205283967999568]",50,0.09,10,0.1,0.4,0.8,0.1,0.05
CAB,4,5.484325675500276,"[0.016414988685001894, 1.29157921938365, -0.02387388369932153, -1.3469075334891225, 1.1285623353002254, 1.554149951125466]",50,0.09,10,0.1,0.4,0.8,0.1,0.05
CAB,0,7.354195719034429,"[1.7300842190328198, -0.977972373704422, -3.2281620399870237, 2.0095835541384974, 0.06808103246850297, -1.7812855001085368]",50,0.08,10,0.1,0.4,1.0,0.05,0.01
CAB,1,6.795089509770619,"[-1.1914659931202451, 1.939809880412591, -1.0055984571784131, -0.33431064417255946, -3.0227114347130395, -0.35633894346280076]",50,0.08,10,0.1,0.4,1.0,0.05,0.01
CAB,2,7.357500425235118,"[-0.057918977020240535, 1.404652349509255, -0.36231018205248117, 0.9831083657295231, 4.011080138850413, 1.015999628414265]",50,0.08,10,0.1,0.4,1.0,0.05,0.01
CAB,3,6.879116223954407,"[-1.1309174912839677, 1.0687435505437894, 2.0738693985914987, -2.3760566716624654, 2.173222550458536, 0.9322943641024302]",50,0.08,10,0.1,0.4,1.0,0.05,0.01
CAB,4,6.658596124100647,"[-0.06704921253625838, 1.5721323905215796, -0.17800240093117145, -2.0030365708104685, 1.5504094377668847, 2.118439042901045]",50,0.08,10,0.1,0.4,1.0,0.05,0.01
CAB,0,7.544913316047795,"[1.8952929326607537, -1.0231986251527108, -3.6900634616410817, 2.0180075040341796, 0.10451023556162416, -1.971273766248678]",50,0.08,10,0.1,0.4,1.0,0.05,0.05
CAB,1,6.987009640929973,"[-1.2355901310220367, 1.956338300044959, -1.0357485306345309, -0.41693598611458804, -3.0459907861376023, -0.33929538902460155]",50,0.08,10,0.1,0.4,1.0,0.05,0.05
CAB,2,7.241260679210944,"[-0.014257252771808093, 1.4381512681006612, -0.21651424752076645, 1.03645426269046, 4.071613669575464, 1.0013317512197761]",50,0.08,10,0.1,0.4,1.0,0.05,0.05
CAB,3,6.75579193782016,"[-1.088919296780062, 1.0984623406502616, 2.0634014479912484, -2.3278515804513935, 2.185570083252143, 0.9874172223468853]",50,0.08,10,0.1,0.4,1.0,0.05,0.05
CAB,4,6.460735927603345,"[-0.06805188012218075, 1.558398510143405, -0.21322893909549462, -2.0103365159349704, 1.3767036965069819, 2.0290797543888184]",50,0.08,10,0.1,0.4,1.0,0.05,0.05
CAB,0,6.032046694634609,"[1.0637847039764534, -0.5659809877758578, -1.11870538638552, 2.314657935086706, -1.0815202995447388, -0.3544222475167741]",50,0.09,10,0.1,0.4,1.0,0.1,0.01
CAB,1,5.919012982850557,"[-0.8377520964648937, 1.38087188370413, -0.7405759964512899, -0.6426405863783605, -2.2239897098072734, -0.04232798634278399]",50,0.08,10,0.1,0.4,1.0,0.1,0.01
CAB,2,5.724028324602724,"[0.06515801471510173, -0.9118941510896516, -0.3912736783194994, 0.007078637097366871, 3.1118143239877143, 1.0151419113458726]",50,0.09,10,0.1,0.4,1.0,0.1,0.01
CAB,3,6.011174305293842,"[-0.38419713296285335, -0.3033814316291766, 2.0303371830879446, 1.4520056958847152, -1.1668674653772306, 0.7627715865526022]",50,0.09,10,0.1,0.4,1.0,0.1,0.01
CAB,4,5.5730436153012235,"[-0.026902492291096404, 0.4309010559056437, -0.07066090177555008, 2.3762132454745775, -0.39977624223794395, -1.0666681635364454]",50,0.09,10,0.1,0.4,1.0,0.1,0.01
CAB,0,6.267317468448898,"[-0.29891899820020457, -0.36382744792347393, -3.1239828690003577, -0.9916843268723186, 0.8543813452944893, -0.19306344557810584]",50,0.09,10,0.1,0.4,1.0,0.1,0.05
CAB,1,5.552719175371529,"[-0.8658207906520515, 1.310361750761702, -0.7639591269332746, -0.8250481156797365, -2.1964612912991446, -0.06504649183413065]",50,0.09,10,0.1,0.4,1.0,0.1,0.05
CAB,2,6.306620096707412,"[-1.2256383205240953, -1.8882088193652629, -1.0168198469291203, 1.0238505746204234, 1.7864539563030832, -1.6445781505491752]",50,0.09,10,0.1,0.4,1.0,0.1,0.05
CAB,3,5.589866848143441,"[-1.0539743703169213, 0.9926250091816767, 2.0553918050037385, -2.0148671818879236, 1.8975014966355452, 0.9205283967999568]",50,0.09,10,0.1,0.4,1.0,0.1,0.05
CAB,4,5.484325675500276,"[0.016414988685001894, 1.29157921938365, -0.02387388369932153, -1.3469075334891225, 1.1285623353002254, 1.554149951125466]",50,0.09,10,0.1,0.4,1.0,0.1,0.05
CAB,0,7.354195719034429,"[1.7300842190328198, -0.977972373704422, -3.2281620399870237, 2.0095835541384974, 0.06808103246850297, -1.7812855001085368]",50,0.09,10,0.1,0.7,0.8,0.05,0.01
CAB,1,6.795089509770619,"[-1.1914659931202451, 1.939809880412591, -1.0055984571784131, -0.33431064417255946, -3.0227114347130395, -0.35633894346280076]",50,0.08,10,0.1,0.7,0.8,0.05,0.01
CAB,2,7.357500425235118,"[-0.057918977020240535, 1.404652349509255, -0.36231018205248117, 0.9831083657295231, 4.011080138850413, 1.015999628414265]",50,0.08,10,0.1,0.7,0.8,0.05,0.01
CAB,3,6.879116223954407,"[-1.1309174912839677, 1.0687435505437894, 2.0738693985914987, -2.3760566716624654, 2.173222550458536, 0.9322943641024302]",50,0.08,10,0.1,0.7,0.8,0.05,0.01
CAB,4,6.658596124100647,"[-0.06704921253625838, 1.5721323905215796, -0.17800240093117145, -2.0030365708104685, 1.5504094377668847, 2.118439042901045]",50,0.08,10,0.1,0.7,0.8,0.05,0.01
CAB,0,7.544913316047795,"[1.8952929326607537, -1.0231986251527108, -3.6900634616410817, 2.0180075040341796, 0.10451023556162416, -1.971273766248678]",50,0.08,10,0.1,0.7,0.8,0.05,0.05
CAB,1,6.987009640929973,"[-1.2355901310220367, 1.956338300044959, -1.0357485306345309, -0.41693598611458804, -3.0459907861376023, -0.33929538902460155]",50,0.08,10,0.1,0.7,0.8,0.05,0.05
CAB,2,7.241260679210944,"[-0.014257252771808093, 1.4381512681006612, -0.21651424752076645, 1.03645426269046, 4.071613669575464, 1.0013317512197761]",50,0.08,10,0.1,0.7,0.8,0.05,0.05
CAB,3,6.75579193782016,"[-1.088919296780062, 1.0984623406502616, 2.0634014479912484, -2.3278515804513935, 2.185570083252143, 0.9874172223468853]",50,0.08,10,0.1,0.7,0.8,0.05,0.05
CAB,4,6.460735927603345,"[-0.06805188012218075, 1.558398510143405, -0.21322893909549462, -2.0103365159349704, 1.3767036965069819, 2.0290797543888184]",50,0.08,10,0.1,0.7,0.8,0.05,0.05
CAB,0,6.032046694634609,"[1.0637847039764534, -0.5659809877758578, -1.11870538638552, 2.314657935086706, -1.0815202995447388, -0.3544222475167741]",50,0.08,10,0.1,0.7,0.8,0.1,0.01
CAB,1,5.919012982850557,"[-0.8377520964648937, 1.38087188370413, -0.7405759964512899, -0.6426405863783605, -2.2239897098072734, -0.04232798634278399]",50,0.08,10,0.1,0.7,0.8,0.1,0.01
CAB,2,5.724028324602724,"[0.06515801471510173, -0.9118941510896516, -0.3912736783194994, 0.007078637097366871, 3.1118143239877143, 1.0151419113458726]",50,0.08,10,0.1,0.7,0.8,0.1,0.01
CAB,3,6.011174305293842,"[-0.38419713296285335, -0.3033814316291766, 2.0303371830879446, 1.4520056958847152, -1.1668674653772306, 0.7627715865526022]",50,0.08,10,0.1,0.7,0.8,0.1,0.01
CAB,4,5.5730436153012235,"[-0.026902492291096404, 0.4309010559056437, -0.07066090177555008, 2.3762132454745775, -0.39977624223794395, -1.0666681635364454]",50,0.08,10,0.1,0.7,0.8,0.1,0.01
CAB,0,6.267317468448898,"[-0.29891899820020457, -0.36382744792347393, -3.1239828690003577, -0.9916843268723186, 0.8543813452944893, -0.19306344557810584]",50,0.08,10,0.1,0.7,0.8,0.1,0.05
CAB,1,5.552719175371529,"[-0.8658207906520515, 1.310361750761702, -0.7639591269332746, -0.8250481156797365, -2.1964612912991446, -0.06504649183413065]",50,0.08,10,0.1,0.7,0.8,0.1,0.05
CAB,2,6.306620096707412,"[-1.2256383205240953, -1.8882088193652629, -1.0168198469291203, 1.0238505746204234, 1.7864539563030832, -1.6445781505491752]",50,0.08,10,0.1,0.7,0.8,0.1,0.05
CAB,3,5.589866848143441,"[-1.0539743703169213, 0.9926250091816767, 2.0553918050037385, -2.0148671818879236, 1.8975014966355452, 0.9205283967999568]",50,0.08,10,0.1,0.7,0.8,0.1,0.05
CAB,4,5.484325675500276,"[0.016414988685001894, 1.29157921938365, -0.02387388369932153, -1.3469075334891225, 1.1285623353002254, 1.554149951125466]",50,0.08,10,0.1,0.7,0.8,0.1,0.05
CAB,0,7.354195719034429,"[1.7300842190328198, -0.977972373704422, -3.2281620399870237, 2.0095835541384974, 0.06808103246850297, -1.7812855001085368]",50,0.09,10,0.1,0.7,1.0,0.05,0.01
CAB,1,6.795089509770619,"[-1.1914659931202451, 1.939809880412591, -1.0055984571784131, -0.33431064417255946, -3.0227114347130395, -0.35633894346280076]",50,0.08,10,0.1,0.7,1.0,0.05,0.01
CAB,2,7.357500425235118,"[-0.057918977020240535, 1.404652349509255, -0.36231018205248117, 0.9831083657295231, 4.011080138850413, 1.015999628414265]",50,0.08,10,0.1,0.7,1.0,0.05,0.01
CAB,3,6.879116223954407,"[-1.1309174912839677, 1.0687435505437894, 2.0738693985914987, -2.3760566716624654, 2.173222550458536, 0.9322943641024302]",50,0.08,10,0.1,0.7,1.0,0.05,0.01
CAB,4,6.658596124100647,"[-0.06704921253625838, 1.5721323905215796, -0.17800240093117145, -2.0030365708104685, 1.5504094377668847, 2.118439042901045]",50,0.08,10,0.1,0.7,1.0,0.05,0.01
CAB,0,7.544913316047795,"[1.8952929326607537, -1.0231986251527108, -3.6900634616410817, 2.0180075040341796, 0.10451023556162416, -1.971273766248678]",50,0.08,10,0.1,0.7,1.0,0.05,0.05
CAB,1,6.987009640929973,"[-1.2355901310220367, 1.956338300044959, -1.0357485306345309, -0.41693598611458804, -3.0459907861376023, -0.33929538902460155]",50,0.08,10,0.1,0.7,1.0,0.05,0.05
CAB,2,7.241260679210944,"[-0.014257252771808093, 1.4381512681006612, -0.21651424752076645, 1.03645426269046, 4.071613669575464, 1.0013317512197761]",50,0.08,10,0.1,0.7,1.0,0.05,0.05
CAB,3,6.75579193782016,"[-1.088919296780062, 1.0984623406502616, 2.0634014479912484, -2.3278515804513935, 2.185570083252143, 0.9874172223468853]",50,0.08,10,0.1,0.7,1.0,0.05,0.05
CAB,4,6.460735927603345,"[-0.06805188012218075, 1.558398510143405, -0.21322893909549462, -2.0103365159349704, 1.3767036965069819, 2.0290797543888184]",50,0.08,10,0.1,0.7,1.0,0.05,0.05
CAB,0,6.032046694634609,"[1.0637847039764534, -0.5659809877758578, -1.11870538638552, 2.314657935086706, -1.0815202995447388, -0.3544222475167741]",50,0.08,10,0.1,0.7,1.0,0.1,0.01
CAB,1,5.919012982850557,"[-0.8377520964648937, 1.38087188370413, -0.7405759964512899, -0.6426405863783605, -2.2239897098072734, -0.04232798634278399]",50,0.08,10,0.1,0.7,1.0,0.1,0.01
CAB,2,5.724028324602724,"[0.06515801471510173, -0.9118941510896516, -0.3912736783194994, 0.007078637097366871, 3.1118143239877143, 1.0151419113458726]",50,0.08,10,0.1,0.7,1.0,0.1,0.01
CAB,3,6.011174305293842,"[-0.38419713296285335, -0.3033814316291766, 2.0303371830879446, 1.4520056958847152, -1.1668674653772306, 0.7627715865526022]",50,0.08,10,0.1,0.7,1.0,0.1,0.01
CAB,4,5.5730436153012235,"[-0.026902492291096404, 0.4309010559056437, -0.07066090177555008, 2.3762132454745775, -0.39977624223794395, -1.0666681635364454]",50,0.08,10,0.1,0.7,1.0,0.1,0.01
CAB,0,6.267317468448898,"[-0.29891899820020457, -0.36382744792347393, -3.1239828690003577, -0.9916843268723186, 0.8543813452944893, -0.19306344557810584]",50,0.08,10,0.1,0.7,1.0,0.1,0.05
CAB,1,5.552719175371529,"[-0.8658207906520515, 1.310361750761702, -0.7639591269332746, -0.8250481156797365, -2.1964612912991446, -0.06504649183413065]",50,0.08,10,0.1,0.7,1.0,0.1,0.05
CAB,2,6.306620096707412,"[-1.2256383205240953, -1.8882088193652629, -1.0168198469291203, 1.0238505746204234, 1.7864539563030832, -1.6445781505491752]",50,0.08,10,0.1,0.7,1.0,0.1,0.05
CAB,3,5.589866848143441,"[-1.0539743703169213, 0.9926250091816767, 2.0553918050037385, -2.0148671818879236, 1.8975014966355452, 0.9205283967999568]",50,0.08,10,0.1,0.7,1.0,0.1,0.05
CAB,4,5.484325675500276,"[0.016414988685001894, 1.29157921938365, -0.02387388369932153, -1.3469075334891225, 1.1285623353002254, 1.554149951125466]",50,0.08,10,0.1,0.7,1.0,0.1,0.05
CAB,0,7.354195719034429,"[1.7300842190328198, -0.977972373704422, -3.2281620399870237, 2.0095835541384974, 0.06808103246850297, -1.7812855001085368]",50,0.08,10,0.2,0.4,0.8,0.05,0.01
CAB,1,6.795089509770619,"[-1.1914659931202451, 1.939809880412591, -1.0055984571784131, -0.33431064417255946, -3.0227114347130395, -0.35633894346280076]",50,0.08,10,0.2,0.4,0.8,0.05,0.01
CAB,2,7.357500425235118,"[-0.057918977020240535, 1.404652349509255, -0.36231018205248117, 0.9831083657295231, 4.011080138850413, 1.015999628414265]",50,0.08,10,0.2,0.4,0.8,0.05,0.01
CAB,3,6.879116223954407,"[-1.1309174912839677, 1.0687435505437894, 2.0738693985914987, -2.3760566716624654, 2.173222550458536, 0.9322943641024302]",50,0.08,10,0.2,0.4,0.8,0.05,0.01
CAB,4,6.658596124100647,"[-0.06704921253625838, 1.5721323905215796, -0.17800240093117145, -2.0030365708104685, 1.5504094377668847, 2.118439042901045]",50,0.08,10,0.2,0.4,0.8,0.05,0.01
CAB,0,7.544913316047795,"[1.8952929326607537, -1.0231986251527108, -3.6900634616410817, 2.0180075040341796, 0.10451023556162416, -1.971273766248678]",50,0.08,10,0.2,0.4,0.8,0.05,0.05
CAB,1,6.987009640929973,"[-1.2355901310220367, 1.956338300044959, -1.0357485306345309, -0.41693598611458804, -3.0459907861376023, -0.33929538902460155]",50,0.08,10,0.2,0.4,0.8,0.05,0.05
CAB,2,7.241260679210944,"[-0.014257252771808093, 1.4381512681006612, -0.21651424752076645, 1.03645426269046, 4.071613669575464, 1.0013317512197761]",50,0.08,10,0.2,0.4,0.8,0.05,0.05
CAB,3,6.75579193782016,"[-1.088919296780062, 1.0984623406502616, 2.0634014479912484, -2.3278515804513935, 2.185570083252143, 0.9874172223468853]",50,0.08,10,0.2,0.4,0.8,0.05,0.05
CAB,4,6.460735927603345,"[-0.06805188012218075, 1.558398510143405, -0.21322893909549462, -2.0103365159349704, 1.3767036965069819, 2.0290797543888184]",50,0.08,10,0.2,0.4,0.8,0.05,0.05
CAB,0,6.032046694634609,"[1.0637847039764534, -0.5659809877758578, -1.11870538638552, 2.314657935086706, -1.0815202995447388, -0.3544222475167741]",50,0.08,10,0.2,0.4,0.8,0.1,0.01
CAB,1,5.919012982850557,"[-0.8377520964648937, 1.38087188370413, -0.7405759964512899, -0.6426405863783605, -2.2239897098072734, -0.04232798634278399]",50,0.08,10,0.2,0.4,0.8,0.1,0.01
CAB,2,5.724028324602724,"[0.06515801471510173, -0.9118941510896516, -0.3912736783194994, 0.007078637097366871, 3.1118143239877143, 1.0151419113458726]",50,0.08,10,0.2,0.4,0.8,0.1,0.01
CAB,3,6.011174305293842,"[-0.38419713296285335, -0.3033814316291766, 2.0303371830879446, 1.4520056958847152, -1.1668674653772306, 0.7627715865526022]",50,0.08,10,0.2,0.4,0.8,0.1,0.01
CAB,4,5.5730436153012235,"[-0.026902492291096404, 0.4309010559056437, -0.07066090177555008, 2.3762132454745775, -0.39977624223794395, -1.0666681635364454]",50,0.08,10,0.2,0.4,0.8,0.1,0.01
CAB,0,6.267317468448898,"[-0.29891899820020457, -0.36382744792347393, -3.1239828690003577, -0.9916843268723186, 0.8543813452944893, -0.19306344557810584]",50,0.08,10,0.2,0.4,0.8,0.1,0.05
CAB,1,5.552719175371529,"[-0.8658207906520515, 1.310361750761702, -0.7639591269332746, -0.8250481156797365, -2.1964612912991446, -0.06504649183413065]",50,0.08,10,0.2,0.4,0.8,0.1,0.05
CAB,2,6.306620096707412,"[-1.2256383205240953, -1.8882088193652629, -1.0168198469291203, 1.0238505746204234, 1.7864539563030832, -1.6445781505491752]",50,0.08,10,0.2,0.4,0.8,0.1,0.05
CAB,3,5.589866848143441,"[-1.0539743703169213, 0.9926250091816767, 2.0553918050037385, -2.0148671818879236, 1.8975014966355452, 0.9205283967999568]",50,0.08,10,0.2,0.4,0.8,0.1,0.05
CAB,4,5.484325675500276,"[0.016414988685001894, 1.29157921938365, -0.02387388369932153, -1.3469075334891225, 1.1285623353002254, 1.554149951125466]",50,0.08,10,0.2,0.4,0.8,0.1,0.05
CAB,0,7.354195719034429,"[1.7300842190328198, -0.977972373704422, -3.2281620399870237, 2.0095835541384974, 0.06808103246850297, -1.7812855001085368]",50,0.08,10,0.2,0.4,1.0,0.05,0.01
CAB,1,6.795089509770619,"[-1.1914659931202451, 1.939809880412591, -1.0055984571784131, -0.33431064417255946, -3.0227114347130395, -0.35633894346280076]",50,0.08,10,0.2,0.4,1.0,0.05,0.01
CAB,2,7.357500425235118,"[-0.057918977020240535, 1.404652349509255, -0.36231018205248117, 0.9831083657295231, 4.011080138850413, 1.015999628414265]",50,0.08,10,0.2,0.4,1.0,0.05,0.01
CAB,3,6.879116223954407,"[-1.1309174912839677, 1.0687435505437894, 2.0738693985914987, -2.3760566716624654, 2.173222550458536, 0.9322943641024302]",50,0.08,10,0.2,0.4,1.0,0.05,0.01
CAB,4,6.658596124100647,"[-0.06704921253625838, 1.5721323905215796, -0.17800240093117145, -2.0030365708104685, 1.5504094377668847, 2.118439042901045]",50,0.08,10,0.2,0.4,1.0,0.05,0.01
CAB,0,7.544913316047795,"[1.8952929326607537, -1.0231986251527108, -3.6900634616410817, 2.0180075040341796, 0.10451023556162416, -1.971273766248678]",50,0.08,10,0.2,0.4,1.0,0.05,0.05
CAB,1,6.987009640929973,"[-1.2355901310220367, 1.956338300044959, -1.0357485306345309, -0.41693598611458804, -3.0459907861376023, -0.33929538902460155]",50,0.08,10,0.2,0.4,1.0,0.05,0.05
CAB,2,7.241260679210944,"[-0.014257252771808093, 1.4381512681006612, -0.21651424752076645, 1.03645426269046, 4.071613669575464, 1.0013317512197761]",50,0.08,10,0.2,0.4,1.0,0.05,0.05
CAB,3,6.75579193782016,"[-1.088919296780062, 1.0984623406502616, 2.0634014479912484, -2.3278515804513935, 2.185570083252143, 0.9874172223468853]",50,0.08,10,0.2,0.4,1.0,0.05,0.05
CAB,4,6.460735927603345,"[-0.06805188012218075, 1.558398510143405, -0.21322893909549462, -2.0103365159349704, 1.3767036965069819, 2.0290797543888184]",50,0.08,10,0.2,0.4,1.0,0.05,0.05
CAB,0,6.032046694634609,"[1.0637847039764534, -0.5659809877758578, -1.11870538638552, 2.314657935086706, -1.0815202995447388, -0.3544222475167741]",50,0.08,10,0.2,0.4,1.0,0.1,0.01
CAB,1,5.919012982850557,"[-0.8377520964648937, 1.38087188370413, -0.7405759964512899, -0.6426405863783605, -2.2239897098072734, -0.04232798634278399]",50,0.08,10,0.2,0.4,1.0,0.1,0.01
CAB,2,5.724028324602724,"[0.06515801471510173, -0.9118941510896516, -0.3912736783194994, 0.007078637097366871, 3.1118143239877143, 1.0151419113458726]",50,0.08,10,0.2,0.4,1.0,0.1,0.01
CAB,3,6.011174305293842,"[-0.38419713296285335, -0.3033814316291766, 2.0303371830879446, 1.4520056958847152, -1.1668674653772306, 0.7627715865526022]",50,0.08,10,0.2,0.4,1.0,0.1,0.01
CAB,4,5.5730436153012235,"[-0.026902492291096404, 0.4309010559056437, -0.07066090177555008, 2.3762132454745775, -0.39977624223794395, -1.0666681635364454]",50,0.08,10,0.2,0.4,1.0,0.1,0.01
CAB,0,6.267317468448898,"[-0.29891899820020457, -0.36382744792347393, -3.1239828690003577, -0.9916843268723186, 0.8543813452944893, -0.19306344557810584]",50,0.08,10,0.2,0.4,1.0,0.1,0.05
CAB,1,5.552719175371529,"[-0.8658207906520515, 1.310361750761702, -0.7639591269332746, -0.8250481156797365, -2.1964612912991446, -0.06504649183413065]",50,0.08,10,0.2,0.4,1.0,0.1,0.05
CAB,2,6.306620096707412,"[-1.2256383205240953, -1.8882088193652629, -1.0168198469291203, 1.0238505746204234, 1.7864539563030832, -1.6445781505491752]",50,0.08,10,0.2,0.4,1.0,0.1,0.05
CAB,3,5.589866848143441,"[-1.0539743703169213, 0.9926250091816767, 2.0553918050037385, -2.0148671818879236, 1.8975014966355452, 0.9205283967999568]",50,0.08,10,0.2,0.4,1.0,0.1,0.05
CAB,4,5.484325675500276,"[0.016414988685001894, 1.29157921938365, -0.02387388369932153, -1.3469075334891225, 1.1285623353002254, 1.554149951125466]",50,0.09,10,0.2,0.4,1.0,0.1,0.05
CAB,0,7.354195719034429,"[1.7300842190328198, -0.977972373704422, -3.2281620399870237, 2.0095835541384974, 0.06808103246850297, -1.7812855001085368]",50,0.08,10,0.2,0.7,0.8,0.05,0.01
CAB,1,6.795089509770619,"[-1.1914659931202451, 1.939809880412591, -1.0055984571784131, -0.33431064417255946, -3.0227114347130395, -0.35633894346280076]",50,0.08,10,0.2,0.7,0.8,0.05,0.01
CAB,2,7.357500425235118,"[-0.057918977020240535, 1.404652349509255, -0.36231018205248117, 0.9831083657295231, 4.011080138850413, 1.015999628414265]",50,0.08,10,0.2,0.7,0.8,0.05,0.01
CAB,3,6.879116223954407,"[-1.1309174912839677, 1.0687435505437894, 2.0738693985914987, -2.3760566716624654, 2.173222550458536, 0.9322943641024302]",50,0.08,10,0.2,0.7,0.8,0.05,0.01
CAB,4,6.658596124100647,"[-0.06704921253625838, 1.5721323905215796, -0.17800240093117145, -2.0030365708104685, 1.5504094377668847, 2.118439042901045]",50,0.08,10,0.2,0.7,0.8,0.05,0.01
CAB,0,7.544913316047795,"[1.8952929326607537, -1.0231986251527108, -3.6900634616410817, 2.0180075040341796, 0.10451023556162416, -1.971273766248678]",50,0.08,10,0.2,0.7,0.8,0.05,0.05
CAB,1,6.987009640929973,"[-1.2355901310220367, 1.956338300044959, -1.0357485306345309, -0.41693598611458804, -3.0459907861376023, -0.33929538902460155]",50,0.08,10,0.2,0.7,0.8,0.05,0.05
CAB,2,7.241260679210944,"[-0.014257252771808093, 1.4381512681006612, -0.21651424752076645, 1.03645426269046, 4.071613669575464, 1.0013317512197761]",50,0.08,10,0.2,0.7,0.8,0.05,0.05
CAB,3,6.75579193782016,"[-1.088919296780062, 1.0984623406502616, 2.0634014479912484, -2.3278515804513935, 2.185570083252143, 0.9874172223468853]",50,0.08,10,0.2,0.7,0.8,0.05,0.05
CAB,4,6.460735927603345,"[-0.06805188012218075, 1.558398510143405, -0.21322893909549462, -2.0103365159349704, 1.3767036965069819, 2.0290797543888184]",50,0.08,10,0.2,0.7,0.8,0.05,0.05
CAB,0,6.032046694634609,"[1.0637847039764534, -0.5659809877758578, -1.11870538638552, 2.314657935086706, -1.0815202995447388, -0.3544222475167741]",50,0.08,10,0.2,0.7,0.8,0.1,0.01
CAB,1,5.919012982850557,"[-0.8377520964648937, 1.38087188370413, -0.7405759964512899, -0.6426405863783605, -2.2239897098072734, -0.04232798634278399]",50,0.08,10,0.2,0.7,0.8,0.1,0.01
CAB,2,5.724028324602724,"[0.06515801471510173, -0.9118941510896516, -0.3912736783194994, 0.007078637097366871, 3.1118143239877143, 1.0151419113458726]",50,0.08,10,0.2,0.7,0.8,0.1,0.01
